101-OMS-6100-CFM,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.66
106020 Coagulation_And_Fibrinolysis_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
106021 Coagulation_And_Fibrinolysis_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
106022 Amino_Acid_Oxidation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
106023 Amino_Acid_Biosynthesis,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
106024 Single_Carbon_Metabolism,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
106025 Urea_Cycle,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
106026 Biosynthesis_Of_Fats_And_Membrane_Lipids,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
106027 Biosynthesis_Of_Eicosanoids,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
106028 Lipoprotein_Metabolism,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
106029 Hemoglobin_And_Oxygen_Transport,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
106030 Erythrocyte_Metabolism,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
106031 Hemoglobin_Disorders,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
106032 Heme_Metabolism,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
106033 Metabolism_Of_Iron_Copper_Zinc_And_Other_Metals,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
106034 Oxidative_Stress,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
106035 Acidoses_And_Alkaloses_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
106036 Metabolism_Of_Etoh,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
106037 Acidoses_And_Alkaloses_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
107-OMS-7121-DS1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.52
107003 Medical_Terminology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.48
107005 Exam_Techniques,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
107006 Cst_Hand_Hygiene_And_Personal_Protective_Equipment,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.51
107007 Empathy,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.68
107008 Cst_Motivational_Interviewing,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
